run_time,trade_id,symbol,direction,start_time,end_time,result,exit_reason,exit_price,exit_time
2026-05-13T09:36:40.520377+00:00,0cb1163c33ecd0c2f8ae,GBPAUD,SHORT,2026-05-13T09:27:37.387524+00:00,2026-05-13T09:36:40.436650+00:00,CLOSED,SL,1.86933,2026-05-13T09:28:00+00:00
2026-05-13T09:45:11.825023+00:00,f0556897b991383e2726,GBPAUD,SHORT,2026-05-13T09:36:43.029084+00:00,2026-05-13T09:45:11.815529+00:00,CLOSED,SL,1.86897,2026-05-13T09:37:00+00:00
2026-05-13T09:55:11.908051+00:00,7f3960dee3740257d230,GBPAUD,SHORT,2026-05-13T09:45:14.803126+00:00,2026-05-13T09:55:11.897649+00:00,CLOSED,SL,1.86825,2026-05-13T09:46:00+00:00
2026-05-13T10:02:14.339820+00:00,734cad48fcfeb522051a,GBPAUD,SHORT,2026-05-13T09:55:15.498714+00:00,2026-05-13T10:02:14.332184+00:00,CLOSED,SL,1.86795,2026-05-13T09:56:00+00:00
2026-05-13T10:07:06.308735+00:00,b6b2f71a9bfa2a18d6a7,GBPAUD,SHORT,2026-05-13T10:02:16.668913+00:00,2026-05-13T10:07:06.296280+00:00,CLOSED,SL,1.86794,2026-05-13T10:03:00+00:00
2026-05-13T10:12:05.981845+00:00,57a45ae18188a3881a28,GBPAUD,SHORT,2026-05-13T10:07:09.132873+00:00,2026-05-13T10:12:05.974881+00:00,CLOSED,SL,1.86801,2026-05-13T10:08:00+00:00
2026-05-13T10:20:33.289538+00:00,e18186d5866b8e89ba79,GBPAUD,SHORT,2026-05-13T10:12:08.168842+00:00,2026-05-13T10:20:33.285717+00:00,CLOSED,SL,1.8673,2026-05-13T10:13:00+00:00
2026-05-13T10:28:47.996418+00:00,516be7cdf8bda5e3c32a,GBPAUD,SHORT,2026-05-13T10:20:35.046311+00:00,2026-05-13T10:28:47.990919+00:00,CLOSED,SL,1.86681,2026-05-13T10:21:00+00:00
2026-05-13T11:41:26.549309+00:00,9d05eb624545ed58ead7,GBPAUD,SHORT,2026-05-13T10:28:50.269955+00:00,2026-05-13T11:41:25.981974+00:00,CLOSED,SL,1.86717,2026-05-13T10:29:00+00:00
2026-05-13T15:36:56.104210+00:00,7ee5f7b2ee3c2b5ffec4,AUDCAD,LONG,2026-05-13T15:28:18.144726+00:00,2026-05-13T15:36:56.096693+00:00,CLOSED,SL,0.99171,2026-05-13T15:30:00+00:00
2026-05-14T01:32:22.470072+00:00,7e2a28be760ce7e66b91,GBPAUD,SHORT,2026-05-13T16:26:17.158399+00:00,2026-05-14T01:32:22.403110+00:00,CLOSED,SL,1.86435,2026-05-13T16:35:00+00:00
2026-05-14T04:05:22.834265+00:00,de2001facc53dd34ec1d,AUDJPY,LONG,2026-05-14T03:51:48.061703+00:00,2026-05-14T04:05:22.808906+00:00,CLOSED,SL,114.37953,2026-05-14T03:53:00+00:00
2026-05-20T02:19:35.445663+00:00,47895b8196569171a0ba,EURUSD,SHORT,2026-05-20T02:06:50.054707+00:00,2026-05-20T02:19:35.332801+00:00,CLOSED,SL,1.1609,2026-05-20T02:19:00+00:00
2026-05-20T11:36:20.181503+00:00,493c1236f4a0020eda7d,EURUSD,SHORT,2026-05-20T10:34:50.929831+00:00,2026-05-20T11:36:20.128438+00:00,CLOSED,TP1,1.15845,2026-05-20T11:19:00+00:00
